0 0
1 9
2 17.8614
3 26.8416
4 35.5392
5 44.5554
6 54.0126
7 63.0684
8 71.8002
9 81.207
10 90.1854
11 98.7192
12 107.2458
13 114.831
14 124.4844
15 134.1378
16 144.6552
17 151.6392
18 159.0534
19 171.288
20 180.0252
21 187.1334
22 197.1864
23 207.3366
24 218.403
25 221.6718
26 231.3666
27 244.9242
28 252.0756
29 261.774
30 269.2854
31 275.1498
32 287.9928
33 300.6774
34 306.1764
35 313.8084
36 322.8174
37 332.2116
38 343.4364
39 351.6084
40 358.3962
41 370.107
42 379.998
43 388.9188
44 392.9976
45 409.7304
46 410.5494
47 425.889
48 438.4188
49 445.086
50 455.7096
51 460.1322
52 471.4992
53 477.765
54 482.7708
55 495.4194
56 506.0124
57 521.2746
58 526.23
59 535.6296
60 539.2548
61 552.888
62 554.5062
63 572.3136
64 581.8698
65 591.8364
66 606.9438
67 594.9612
68 611.5284
69 626.1948
70 627.8202
71 644.1984
72 654.561
73 650.9268
74 666.6858
75 670.2876
76 688.4298
77 701.4312
78 710.226
79 704.6748
80 709.5906
81 721.8198
82 749.565
83 751.194
84 743.6232
85 764.0298
86 766.0746
87 786.4884
88 805.2822
89 802.5534
90 801.0072
91 823.3902
92 828.1152
93 839.7576
94 835.506
95 850.4658
96 860.7222
97 859.7484
98 881.1864
99 884.8566
