  369.60  0.20980E+12
  371.04  0.20774E+12
  372.48  0.20570E+12
  373.92  0.20368E+12
  375.36  0.20167E+12
  376.80  0.19968E+12
  378.24  0.19771E+12
  379.68  0.19576E+12
  381.12  0.19382E+12
  382.56  0.19191E+12
  384.00  0.19001E+12
  385.44  0.18813E+12
  386.88  0.18626E+12
  388.32  0.18442E+12
  389.76  0.18259E+12
  391.20  0.18078E+12
  392.64  0.17899E+12
  394.08  0.17722E+12
  395.52  0.17546E+12
  396.96  0.17372E+12
  398.40  0.17200E+12
  399.84  0.17030E+12
  401.28  0.16861E+12
  402.72  0.16694E+12
  404.16  0.16529E+12
  405.60  0.16366E+12
  407.04  0.16204E+12
  408.48  0.16044E+12
  409.92  0.15886E+12
  411.36  0.15729E+12
  412.80  0.15574E+12
  414.24  0.15421E+12
  415.68  0.15269E+12
  417.12  0.15119E+12
  418.56  0.14971E+12
  420.00  0.14824E+12
  421.44  0.14679E+12
  422.88  0.14535E+12
  424.32  0.14393E+12
  425.76  0.14252E+12
  427.20  0.14113E+12
  428.64  0.13976E+12
  430.08  0.13840E+12
  431.52  0.13706E+12
  432.96  0.13573E+12
  434.40  0.13441E+12
  435.84  0.13311E+12
  437.28  0.13183E+12
  438.72  0.13056E+12
  440.16  0.12930E+12
  441.60  0.12806E+12
  443.04  0.12683E+12
  444.48  0.12562E+12
  445.92  0.12442E+12
  447.36  0.12323E+12
  448.80  0.12205E+12
  450.24  0.12089E+12
  451.68  0.11974E+12
  453.12  0.11861E+12
  454.56  0.11749E+12
  456.00  0.11638E+12
  457.44  0.11528E+12
  458.88  0.11420E+12
  460.32  0.11313E+12
  461.76  0.11207E+12
  463.20  0.11102E+12
  464.64  0.10998E+12
  466.08  0.10896E+12
  467.52  0.10795E+12
  468.96  0.10694E+12
  470.40  0.10595E+12
  471.84  0.10498E+12
  473.28  0.10401E+12
  474.72  0.10305E+12
  476.16  0.10211E+12
  477.60  0.10117E+12
  479.04  0.10025E+12
  480.48  0.99334E+11
  481.92  0.98430E+11
  483.36  0.97537E+11
  484.80  0.96654E+11
  486.24  0.95781E+11
  487.68  0.94917E+11
  489.12  0.94064E+11
  490.56  0.93220E+11
  492.00  0.92386E+11
  493.44  0.91561E+11
  494.88  0.90745E+11
  496.32  0.89938E+11
  497.76  0.89141E+11
  499.20  0.88352E+11
  500.64  0.87573E+11
  502.08  0.86802E+11
